name,name_hindi,food_group,region,diet_type,calories,protein,iron,calcium,vitaminC,vitaminD,vitaminB12,carbs,fat,fibre,sugar,sodium,price_per_100g_inr,source
Rice (raw),Chawal,cereals,pan-india,veg,345,6.8,0.7,10,0,0,0,78.2,0.5,0.2,0.1,5,4.5,IFCT2017
Rice (cooked),Chawal (pakka),cereals,pan-india,veg,130,2.7,0.3,4,0,0,0,28.1,0.3,0.1,0,2,2.0,IFCT2017
Wheat flour (atta),Gehun atta,cereals,north-india,veg,341,11.8,4.9,48,0,0,0,69.4,1.7,1.9,0.3,2,3.5,IFCT2017
Roti (wheat),Chapati,cereals,north-india,veg,297,9.7,4.0,42,0,0,0,61.0,3.7,1.9,0.3,190,2.5,IFCT2017
Jowar (sorghum),Jowar,millets,pan-india,veg,349,10.4,4.1,25,0,0,0,72.6,1.9,1.6,0,4,3.0,IFCT2017
Bajra (pearl millet),Bajra,millets,west-india,veg,361,11.6,8.0,42,0,0,0,67.5,5.0,1.2,0,5,3.5,IFCT2017
Ragi (finger millet),Ragi,millets,south-india,veg,328,7.3,3.9,344,0,0,0,72.0,1.3,3.6,0,11,4.0,IFCT2017
Oats,Oats,cereals,pan-india,veg,389,16.9,4.7,54,0,0,0,66.3,6.9,10.6,0,2,12.0,IFCT2017
Poha (flattened rice),Poha,cereals,pan-india,veg,333,6.3,2.7,14,0,0,0,76.9,1.2,0.2,0,8,5.0,IFCT2017
Upma (semolina),Upma,cereals,south-india,veg,150,4.5,1.2,18,2,0,0,28.0,3.5,0.8,1,320,3.0,IFCT2017
Toor dal (pigeon pea),Toor dal,pulses,pan-india,veg,335,22.3,2.7,73,1.9,0,0,57.6,1.7,15.0,0,28,8.0,IFCT2017
Moong dal (green gram),Moong dal,pulses,pan-india,veg,334,24.0,4.4,124,1.0,0,0,56.7,1.3,4.1,0,28,7.0,IFCT2017
Chana dal (bengal gram),Chana dal,pulses,pan-india,veg,360,20.8,5.3,202,3.0,0,0,59.8,5.6,7.6,0,30,9.0,IFCT2017
Rajma (kidney beans),Rajma,pulses,north-india,veg,333,22.9,5.1,260,0,0,0,60.6,1.3,25.0,0,28,12.0,IFCT2017
Chole (chickpeas),Kabuli chana,pulses,north-india,veg,364,17.4,4.3,105,1.3,0,0,60.6,6.0,17.4,0,24,10.0,IFCT2017
Masoor dal (red lentil),Masoor dal,pulses,pan-india,veg,343,25.1,7.6,68,1.5,0,0,59.0,0.7,11.7,0,30,8.0,IFCT2017
Urad dal (black gram),Urad dal,pulses,south-india,veg,347,24.0,3.8,154,0,0,0,59.6,1.4,0.9,0,38,9.0,IFCT2017
Soyabean,Soya,pulses,pan-india,veg,432,43.2,10.4,240,0,0,0,20.9,19.5,3.7,0,2,15.0,IFCT2017
Moong sprouts,Ankurit moong,pulses,pan-india,veg,30,3.0,0.9,13,13.2,0,0,5.9,0.2,0.8,0,6,5.0,IFCT2017
Spinach,Palak,vegetables,pan-india,veg,26,2.0,1.14,99,28.1,0,0,3.6,0.4,0.6,0.4,79,4.0,IFCT2017
Methi (fenugreek leaves),Methi,vegetables,pan-india,veg,49,4.4,1.93,395,52.9,0,0,6.0,0.9,1.1,0,76,5.0,IFCT2017
Drumstick leaves (moringa),Sahjan patta,vegetables,south-india,veg,92,6.7,7.0,440,220.0,0,0,12.5,1.7,0.9,0,9,6.0,IFCT2017
Broccoli,Broccoli,vegetables,pan-india,veg,34,2.8,0.73,47,89.2,0,0,6.6,0.4,2.6,1.7,33,25.0,IFCT2017
Carrot,Gajar,vegetables,north-india,veg,41,0.9,0.3,27,5.9,0,0,9.6,0.2,2.8,4.7,69,4.0,IFCT2017
Beetroot,Chukandar,vegetables,north-india,veg,43,1.6,0.8,16,4.9,0,0,9.6,0.2,2.8,6.8,78,6.0,IFCT2017
Sweet potato,Shakarkand,vegetables,pan-india,veg,86,1.6,0.6,30,2.4,0,0,20.1,0.1,3.0,4.2,55,5.0,IFCT2017
